date,Selic rate,cdi1m,cdi2m,cd16m,cdi1h
2010-01-04,8.65,8.64,8.7,9.21,10.44
2010-01-05,8.65,8.66,8.68,9.2,10.42
2010-01-06,8.65,8.64,8.68,9.16,10.34
2010-01-07,8.65,8.63,8.67,9.18,10.33
2010-01-08,8.65,8.63,8.67,9.17,10.31
2010-01-11,8.65,8.65,8.68,9.22,10.37
2010-01-12,8.65,8.66,8.69,9.23,10.41
2010-01-13,8.65,8.65,8.68,9.18,10.35
2010-01-14,8.65,8.66,8.68,9.22,10.38
2010-01-15,8.65,8.66,8.68,9.21,10.31
2010-01-18,8.65,8.67,8.69,9.26,10.35
2010-01-19,8.65,8.66,8.69,9.31,10.42
2010-01-20,8.65,8.67,8.69,9.31,10.43
2010-01-21,8.65,8.66,8.7,9.34,10.48
2010-01-22,8.65,8.66,8.7,9.37,10.48
2010-01-25,8.65,,,,
2010-01-26,8.64,8.66,8.71,9.43,10.53
2010-01-27,8.65,8.68,8.71,9.43,10.55
2010-01-28,8.65,8.63,8.68,9.38,10.49
2010-01-29,8.65,8.64,8.68,9.38,10.46
2010-02-01,8.65,8.64,8.69,9.42,10.47
2010-02-02,8.65,8.64,8.7,9.48,10.52
2010-02-03,8.65,8.65,8.71,9.49,10.52
2010-02-04,8.65,8.65,8.68,9.43,10.42
2010-02-05,8.65,8.65,8.68,9.43,10.4
2010-02-08,8.65,8.65,8.7,9.47,10.39
2010-02-09,8.65,8.66,8.72,9.49,10.44
2010-02-10,8.65,8.67,8.73,9.51,10.47
2010-02-11,8.65,8.68,8.74,9.52,10.47
2010-02-12,8.65,8.66,8.73,9.51,10.44
2010-02-15,,,,,
2010-02-16,,,,,
2010-02-17,8.65,8.69,8.74,9.53,10.48
2010-02-18,8.65,8.69,8.75,9.55,10.48
2010-02-19,8.65,8.7,8.77,9.59,10.49
2010-02-22,8.65,8.72,8.79,9.66,10.58
2010-02-23,8.65,8.72,8.81,9.66,10.61
2010-02-24,8.65,8.73,8.82,9.71,10.66
2010-02-25,8.65,8.74,8.82,9.73,10.69
2010-02-26,8.65,8.76,8.86,9.81,10.75
2010-03-01,8.65,8.76,8.88,9.82,10.74
2010-03-02,8.65,8.77,8.87,9.8,10.74
2010-03-03,8.65,8.79,8.88,9.82,10.77
2010-03-04,8.65,8.77,8.88,9.83,10.78
2010-03-05,8.65,8.76,8.86,9.76,10.69
2010-03-08,8.65,8.78,8.9,9.79,10.72
2010-03-09,8.65,8.78,8.9,9.81,10.71
2010-03-10,8.65,8.81,8.93,9.82,10.77
2010-03-11,8.65,8.87,8.98,9.91,10.86
2010-03-12,8.65,8.85,8.97,9.9,10.85
2010-03-15,8.65,8.87,9.01,9.92,10.88
2010-03-16,8.65,8.89,9.04,9.92,10.9
2010-03-17,8.65,8.83,8.96,9.85,10.84
2010-03-18,8.65,8.65,8.79,9.68,10.68
2010-03-19,8.65,8.65,8.8,9.7,10.72
2010-03-22,8.65,8.65,8.84,9.7,10.72
2010-03-23,8.65,8.65,8.84,9.7,10.72
2010-03-24,8.65,8.65,8.86,9.76,10.76
2010-03-25,8.65,8.66,8.88,9.79,10.8
2010-03-26,8.65,8.67,8.9,9.84,10.82
2010-03-29,8.65,8.66,8.93,9.84,10.81
2010-03-30,8.65,8.66,8.92,9.84,10.82
2010-03-31,8.65,8.66,8.95,9.84,10.85
2010-04-01,8.65,8.67,8.94,9.86,10.84
2010-04-05,8.65,8.72,8.98,9.87,10.84
2010-04-06,8.65,8.75,9.02,9.92,10.88
2010-04-07,8.65,8.79,9.05,9.96,10.91
2010-04-08,8.65,8.82,9.07,10.01,10.91
2010-04-09,8.65,8.84,9.1,10.07,10.97
2010-04-12,8.65,8.89,9.17,10.11,10.99
2010-04-13,8.65,8.94,9.2,10.17,11.05
2010-04-14,8.65,8.98,9.23,10.24,11.13
2010-04-15,8.65,9.01,9.25,10.27,11.21
2010-04-16,8.65,9.01,9.27,10.27,11.18
2010-04-19,8.65,9.08,9.34,10.34,11.24
2010-04-20,8.65,9.08,9.33,10.31,11.23
2010-04-22,8.65,9.1,9.32,10.29,11.23
2010-04-23,8.64,9.14,9.38,10.35,11.28
2010-04-26,8.64,9.22,9.49,10.49,11.42
2010-04-27,8.64,9.23,9.48,10.49,11.42
2010-04-28,8.64,9.28,9.54,10.54,11.47
2010-04-29,9.39,9.37,9.63,10.65,11.52
2010-04-30,9.4,9.37,9.66,10.77,11.66
2010-05-03,9.4,9.41,9.7,10.86,11.79
2010-05-04,9.4,9.45,9.73,10.85,11.84
2010-05-05,9.4,9.45,9.74,10.8,11.78
2010-05-06,9.4,9.46,9.73,10.75,11.67
2010-05-07,9.4,9.47,9.74,10.75,11.63
2010-05-10,9.4,9.52,9.8,10.82,11.7
2010-05-11,9.4,9.55,9.83,10.85,11.73
2010-05-12,9.4,9.58,9.85,10.86,11.7
2010-05-13,9.4,9.61,9.86,10.86,11.7
2010-05-14,9.4,9.61,9.87,10.84,11.69
2010-05-17,9.4,9.65,9.91,10.85,11.65
2010-05-18,9.4,9.67,9.91,10.83,11.61
2010-05-19,9.4,9.69,9.91,10.78,11.56
2010-05-20,9.4,9.71,9.91,10.8,11.54
2010-05-21,9.4,9.72,9.93,10.76,11.47
2010-05-24,9.39,9.75,9.95,10.77,11.49
2010-05-25,9.4,9.75,9.95,10.72,11.43
2010-05-26,9.4,9.78,9.98,10.77,11.47
2010-05-27,9.4,9.83,10.03,10.85,11.57
2010-05-28,9.39,9.84,10.06,10.86,11.57
2010-05-31,9.39,9.86,10.09,10.86,11.54
2010-06-01,9.4,9.89,10.11,10.86,11.54
2010-06-02,9.4,9.95,10.14,10.88,11.54
2010-06-04,9.4,9.98,10.16,10.84,11.45
2010-06-07,9.4,10.05,10.22,10.89,11.48
2010-06-08,9.4,10.1,10.28,10.92,11.52
2010-06-09,9.4,10.15,10.31,10.96,11.58
2010-06-10,10.15,10.21,10.34,11.03,11.64
2010-06-11,10.15,10.21,10.35,11.07,11.72
2010-06-14,10.15,10.22,10.39,11.11,11.76
2010-06-15,10.15,10.25,10.41,11.16,11.88
2010-06-16,10.15,10.25,10.41,11.14,11.81
2010-06-17,10.15,10.26,10.42,11.21,11.86
2010-06-18,10.15,10.26,10.44,11.25,11.9
2010-06-21,10.15,10.27,10.47,11.24,11.88
2010-06-22,10.15,10.28,10.48,11.24,11.82
2010-06-23,10.15,10.3,10.5,11.26,11.86
2010-06-24,10.15,10.3,10.5,11.25,11.82
2010-06-25,10.15,10.31,10.52,11.28,11.83
2010-06-28,10.16,10.33,10.55,11.3,11.83
2010-06-29,10.16,10.35,10.58,11.32,11.82
2010-06-30,10.16,10.35,10.58,11.34,11.86
2010-07-01,10.16,10.37,10.59,11.29,11.77
2010-07-02,10.16,10.35,10.6,11.3,11.75
2010-07-05,10.16,10.41,10.66,11.31,11.74
2010-07-06,10.16,10.46,10.71,11.31,11.76
2010-07-07,10.16,10.48,10.71,11.29,11.72
2010-07-08,10.16,10.52,10.72,11.33,11.75
2010-07-09,10.16,,,,
2010-07-12,10.16,10.57,10.79,11.35,11.73
2010-07-13,10.16,10.61,10.81,11.29,11.66
2010-07-14,10.16,10.63,10.8,11.24,11.66
